quarter,ad_name,rev_gross,rev_qtd_current,rev_qtd_prev_qtd,rev_qtd_prev_year,impressions
2025-04-01,Viant - APP,11293.22,,,,0
2026-01-01,Ad Theorent - CTV - 1st Price,11160.62,,,,0
2026-07-01,Bidswitch - CTV - 1st Price,10984.7,10984.7,,,0
2026-01-01,Sharethrough Web (Open Auction),10940.0,,,,0
2025-04-01,TrueX LG games,10904.76,,,,0
2025-04-01,Marketing Architects - OTT,10779.89,,,,0
2025-07-01,Sharethrough InApp Video (Open Auction),10678.77,,,983.82,0
2025-07-01,Sharethrough CTV Video - Shamrock Farms Bundle Optimized,10611.1,,,1800.62,0
2026-04-01,Viant - MW,10563.83,,1911.54,,0
2025-04-01,SundaySky - Desktop - 1st Price,10544.7,,,,0
2025-01-01,SimpliFi - Web (1st Price),10399.76,,,,0
2026-01-01,TrueX Comcast games,10362.4,,,,0
2026-07-01,Yahoo - In-App,10149.64,10149.64,,,0
2025-04-01,SimpliFi - APP - 1st Price,10110.35,,,,0
2025-04-01,TTD - CTV (LG Ads Only),9929.44,,,,0
2025-01-01,SmartyAds - CTV (Samsung),9907.44,,,,0
2025-04-01,TrueX Vizio AVOD,9816.3,,,,0
2025-10-01,SimpliFi - Web (1st Price),9763.59,,,,0
2025-07-01,SimpliFi - APP - 1st Price,9699.75,,,1233.89,0
2025-07-01,TrueX LG games,9666.06,,,1183.44,0
2025-10-01,Ad Theorent - Desktop/MW - 1st Price,9603.77,,,,0
2025-07-01,Ad Theorent - Desktop/MW - 1st Price,9473.61,,,1327.21,0
2026-01-01,TrueX Vizio games,9468.96,,,,0
2026-01-01,Viant - CTV (Charter),9383.84,,,,0
2025-04-01,Viant - MW [Display],9202.28,,,,0
2025-07-01,TTD - MW [Display],9197.62,,,1633.43,0
2025-07-01,TTD - CTV - oRTB (Canada),9081.93,,,,0
2026-04-01,GroundTruth Video CTV,9001.0,,3129.25,,0
2025-10-01,SmartyAds - CTV (Canada),8964.81,,,,0
2025-01-01,TrueX Vizio AVOD,8877.04,,,,0
2025-01-01,Sharethrough Web (Open Auction),8777.3,,,,0
2025-01-01,TTD - Desktop [Display],8489.29,,,,0
2025-07-01,Viant - Desktop - 1st Price,8424.71,,,17.03,0
